Country Name,Country Code,2014,2015,2016,2017,2018
Afghanistan,AFG,-0.665270518,-1.622886672,-0.541697283,0.082078929,-1.350178336
Angola,AGO,1.219832785,-2.468715169,-5.816236718,-3.409903315,-5.287779594
Albania,ALB,1.985426089,2.516852212,3.480117005,3.916611971,4.40251487
Andorra,AND,4.293204133,2.395988608,2.830284261,2.115060153,1.622746677
Arab World,ARB,0.273518619,1.188057416,1.326749284,-1.095241692,0.127618284
United Arab Emirates,ARE,4.100219471,4.553055405,1.981139395,-0.846125274,0.207936371
Argentina,ARG,-3.57858051,1.629664279,-3.110063898,1.609282344,-3.467376243
Armenia,ARM,3.07285853,2.736128724,-0.16150062,7.18375793,4.95169918
American Samoa,ASM,0.803753378,1.365901551,-2.645383249,-5.64961891,2.470435213
Antigua and Barbuda,ATG,2.622780496,2.711206847,4.42525495,2.173818458,6.430026467
Australia,AUS,1.015114993,0.732399751,1.177911433,0.657653884,1.371144495
Austria,AUT,-0.122370667,-0.11154019,0.984638283,1.767087438,1.922118652
Azerbaijan,AZE,1.522139192,-0.145834454,-4.141769798,-1.255720601,0.5378179
Burundi,BDI,1.021529748,-6.886405717,-3.708336062,-2.646941222,-1.557407354
Belgium,BEL,1.128585855,1.443273424,0.998454175,1.572153723,0.942845268
Benin,BEN,3.439399576,-1.004112064,0.525081923,2.805123831,3.818777311
Burkina Faso,BFA,1.282093646,0.885054448,2.863097486,3.319513927,3.812912022
Bangladesh,BGD,4.856108324,5.368783423,5.950914578,6.142103948,6.737017522
Bulgaria,BGR,2.41800282,4.133514899,4.668314467,4.572306501,3.828179878
Bahrain,BHR,2.706556785,0.180519551,-0.441055395,-0.940563981,-3.110625106
"Bahamas, The",BHS,-0.205232091,-0.362951164,-0.543773106,-0.937249831,0.544150189
Bosnia and Herzegovina,BIH,2.905465111,4.673702515,4.458294041,3.186242188,4.483914305
Belarus,BLR,1.63497133,-3.982648864,-2.648709831,2.567482608,3.309792107
Belize,BLZ,1.447247899,1.263488278,-2.602978122,-0.551942156,1.071369529
Bermuda,BMU,,,,,
Bolivia,BOL,3.843757228,3.282718711,2.732039942,2.696065296,2.752155942
Brazil,BRA,-0.352479218,-4.351483989,-4.069407164,0.508336054,0.526155826
Barbados,BRB,-0.354732941,2.026139671,2.110096546,-0.325475119,-0.640057736
Brunei Darussalam,BRN,-3.624205175,-1.79814526,-3.602333016,0.213081518,-0.994788509
Bhutan,BTN,4.479326562,5.350000462,6.830610935,3.408339123,1.822273166
Botswana,BWA,2.848903521,-3.185996973,2.40941658,0.798912535,2.183074073
Central African Republic,CAF,-0.282852498,3.663820259,3.722663357,3.200431219,2.224742848
Canada,CAN,1.839459846,-0.058784637,-0.031327848,1.756027828,0.482418663
Central Europe and the Baltics,CEB,3.257776452,4.148081757,3.314187566,5.059786095,4.517359846
Switzerland,CHE,1.206787664,0.186413499,0.617849426,0.853947375,2.009605692
Channel Islands,CHI,,,,,
Chile,CHL,0.692556387,1.105944345,0.332088719,-0.153995449,2.587676494
China,CHN,6.75762202,6.3634693,6.160281025,6.161772004,6.082241155
Cote d'Ivoire,CIV,6.10311564,6.13206803,5.267910827,4.992709086,4.725692099
Cameroon,CMR,3.061836081,2.855766469,1.901024374,0.853486026,1.379191982
"Congo, Dem. Rep.",COD,5.895886034,3.442604598,-0.907723407,0.401471108,2.399910664
"Congo, Rep.",COG,4.205349659,0.128546659,-5.23741467,-5.559196545,-1.549244028
Colombia,COL,3.676012448,1.761184057,0.708331384,-0.160980396,1.024714856
Comoros,COM,-0.304632305,-1.229462948,0.961267016,1.481452177,1.140509904
Cabo Verde,CPV,-0.654704681,-0.239305248,3.443556299,2.476708347,3.865935847
Costa Rica,CRI,2.365020868,2.51140319,3.149324392,2.340034914,1.618061785
Caribbean small states,CSS,-0.208595326,0.496863967,-2.289678724,-0.81580686,0.65620677
Cuba,CUB,0.831466817,4.273260224,0.422178217,1.771793801,2.258589685
Curacao,CUW,-2.462195476,-1.035883986,-2.030879105,-2.05324118,-1.936546938
Cayman Islands,CYM,1.109176492,1.373692911,1.703957573,1.717664957,
Cyprus,CYP,-0.77762689,3.964936838,6.258079113,3.394982996,2.798530647
Czech Republic,CZE,2.607037045,5.102415766,2.253976554,4.075766346,2.61404068
Germany,DEU,1.800420038,0.862787538,1.408102174,2.082807721,1.222787233
Djibouti,DJI,5.226585759,5.872971441,5.178749081,3.409086547,3.82998552
Dominica,DMA,4.346562989,-2.825077306,2.378153301,-6.996372838,2.026131376
Denmark,DNK,1.105433472,1.622165585,2.443369549,1.381821734,1.884890216
Dominican Republic,DOM,5.818809908,5.715425772,5.468635467,3.517924002,5.834559566
Algeria,DZA,1.710449516,1.6004783,1.104567921,-0.750499558,-0.615183264
East Asia & Pacific (excluding high income),EAP,5.998497621,5.742918151,5.60392869,5.701011204,5.606177519
Early-demographic dividend,EAR,2.565645042,3.224907435,3.381861484,3.334405279,2.780589112
East Asia & Pacific,EAS,3.43918761,3.43723413,3.350271051,3.888223866,3.56953569
Europe & Central Asia (excluding high income),ECA,1.613843723,0.21198619,1.143572467,3.46171566,2.351466679
Europe & Central Asia,ECS,1.341068027,1.563262011,1.468217692,2.344131893,1.765709533
Ecuador,ECU,2.198941227,-1.507585123,-2.898024887,0.573877117,-0.397089903
"Egypt, Arab Rep.",EGY,0.61685323,2.093722196,2.132012009,2.025577858,3.194431298
Euro area,EMU,1.053455336,1.805179963,1.61373474,2.336144565,1.693040394
Eritrea,ERI,,,,,
Spain,ESP,1.687449704,3.915768451,2.94434856,2.650679339,1.90635198
Estonia,EST,3.257770915,1.778145159,2.601693921,5.620848822,4.397182393
Ethiopia,ETH,7.213187282,7.391451495,6.509676197,6.625757161,4.048070239
European Union,EUU,1.331349244,2.129690452,1.84524995,2.574956017,1.977006281
Fragile and conflict affected situations,FCS,-1.24224173,-0.10115016,0.451932131,-0.271461216,-0.29721238
Finland,FIN,-0.77614038,0.22990993,2.333447122,2.809733652,1.536670225
Fiji,FJI,5.50052607,4.401855218,2.066562945,4.817786841,2.820319292
France,FRA,0.479080613,0.754024352,0.833360549,2.040147619,1.554831138
Faroe Islands,FRO,,,,,
"Micronesia, Fed. Sts.",FSM,-3.687823715,3.229757865,-0.308253108,1.536137448,-0.839033794
Gabon,GAB,0.61986238,0.471570202,-0.968799964,-2.291575738,-1.755039188
United Kingdom,GBR,1.854584596,1.547697098,1.14866298,1.202194373,0.773205672
Georgia,GEO,4.350991635,2.837921808,2.838467125,4.785972333,4.840918287
Ghana,GHA,0.566072146,-0.113926824,1.149647352,5.768551488,3.958667147
Gibraltar,GIB,,,,,
Guinea,GIN,1.295762762,1.272879681,7.928394752,7.291971634,3.19829413
"Gambia, The",GMB,-4.34615116,0.97413624,-1.058248829,1.756616133,3.453188862
Guinea-Bissau,GNB,-1.671171599,3.399294497,3.566049448,3.270887242,1.243474147
Equatorial Guinea,GNQ,-3.68850197,-12.71058299,-12.31397436,-9.167370371,-9.716775365
Greece,GRC,1.4130581,0.220308447,0.225031002,1.706058064,2.152387912
Grenada,GRD,6.622548322,5.76621355,3.112792131,3.881515216,3.635083146
Greenland,GRL,5.091927333,-2.214918882,4.547808581,0.49537593,3.487011391
Guatemala,GTM,2.032085718,2.030732289,1.037037387,0.74414698,1.154413801
Guam,GUM,1.348528018,-0.054872853,-0.386696991,-0.561803024,-1.162983053
Guyana,GUY,3.340901769,2.510740355,2.836059246,1.592282996,3.594471019
High income,HIC,1.413391276,1.734277302,1.12693345,1.78484996,1.763419934
"Hong Kong SAR, China",HKG,2.043152043,1.519946937,1.545507923,3.075366824,2.182713538
Honduras,HND,1.250591786,2.047366391,2.123704453,3.083659135,1.982327776
Heavily indebted poor countries (HIPC),HPC,2.623150795,1.998245871,1.748469034,2.247627278,1.299536642
Croatia,HRV,0.303881743,3.284810941,4.208766779,4.384959085,3.551887109
Haiti,HTI,1.331109984,-0.162491567,0.100989435,-0.138520203,0.199179707
Hungary,HUN,4.476140223,4.092853546,2.502047265,4.600531608,5.227332551
IBRD only,IBD,3.261801318,2.852171892,3.306161907,3.916285854,3.706827966
IDA & IBRD total,IBT,3.04313702,2.549925804,2.898819645,3.531614933,3.327421479
IDA total,IDA,3.441051452,1.853580207,0.87443402,1.937430353,2.02786739
IDA blend,IDB,3.537942055,1.493459332,-0.702718799,0.494893113,1.323447212
Indonesia,IDN,3.63914313,3.555439566,3.759693805,3.83998242,3.985604226
IDA only,IDX,3.291075833,2.193527918,2.506812704,3.395277301,2.725954434
Isle of Man,IMN,5.613741703,-0.597583108,7.331655258,3.214588866,
India,IND,6.186731983,6.79703975,6.997009504,6.035154528,5.709116885
Not classified,INX,,,,,
Ireland,IRL,7.766030481,23.98551001,2.514046181,6.974330322,6.838201455
"Iran, Islamic Rep.",IRN,3.274962297,-2.611099313,11.868692,2.327694199,
Iraq,IRQ,-2.97222802,-0.864992152,11.94474312,-4.940921809,-2.841642694
Iceland,ISL,0.950932855,3.385018756,5.871643739,2.178764766,1.84701469
Israel,ISR,1.785509991,0.283374883,1.96348547,1.548743352,1.47961748
Italy,ITA,-0.91781388,0.875477402,1.451875391,1.868714641,0.966057527
Jamaica,JAM,0.116180484,0.36815251,0.844838051,0.497977274,1.454524928
Jordan,JOR,-1.522510132,-1.437268338,-1.038735943,-0.262010615,0.129635568
Japan,JPN,0.507999337,1.330400881,0.725146429,2.096551745,0.992931322
Kazakhstan,KAZ,2.676714897,-0.268267118,-0.327514633,2.693432134,2.763150911
Kenya,KEN,2.694788349,3.116621981,3.346252153,2.420020577,3.896152981
Kyrgyz Republic,KGZ,1.934435781,1.782546291,2.196672424,2.694919493,1.460381477
Cambodia,KHM,5.401782611,5.333233003,5.368731942,5.389886233,5.90774125
Kiribati,KIR,-2.060395026,8.873685914,3.640496479,-1.107610877,0.513904299
St. Kitts and Nevis,KNA,5.357475912,0.187201889,1.985841689,-2.76837886,2.146724809
"Korea, Rep.",KOR,2.694343122,2.249661522,2.521637425,2.773601468,2.181451612
Kuwait,KWT,-3.979801581,-3.200821868,-0.228664433,-7.043355295,-0.741360739
Latin America & Caribbean (excluding high income),LAC,-0.112113297,-1.100345579,-1.4683768,0.876479707,0.587763586
Lao PDR,LAO,6.016330555,5.656391582,5.38631616,5.244660052,4.61588222
Lebanon,LBN,-3.773956744,-3.739309849,-1.09607989,-0.93523415,-0.342081302
Liberia,LBR,-1.866818935,-2.520554623,-4.057198172,-0.04698527,-1.229759965
Libya,LBY,-24.49787957,-9.661168441,-3.901179931,24.97113139,6.368240933
St. Lucia,LCA,0.893812047,-0.230197817,2.631815383,2.022405559,0.339234187
Latin America & Caribbean,LCN,-0.058370599,-0.935001579,-1.327487635,0.788233284,0.626710837
Least developed countries: UN classification,LDC,3.148065104,1.559847836,1.424798117,2.431760611,1.829363754
Low income,LIC,3.226053905,0.370658395,0.832895433,2.237268504,2.290129855
Liechtenstein,LIE,,,,,
Sri Lanka,LKA,3.985755206,4.046239566,3.338429756,2.257527806,2.132746096
Lower middle income,LMC,4.131724529,4.052849046,4.068219404,4.096085635,4.041070305
Low & middle income,LMY,3.090908732,2.57043162,2.947818429,3.564268687,3.323504736
Lesotho,LSO,2.066677498,1.940043769,2.423646524,-3.044056361,0.332073491
Late-demographic dividend,LTE,3.954143318,3.246391389,3.134755387,4.081769336,4.279892995
Lithuania,LTU,4.401798234,2.997558037,3.867427138,5.715533225,4.638458274
Luxembourg,LUX,1.867277284,1.873670555,2.344807203,-0.643742843,1.141053796
Latvia,LVA,2.879503461,4.109311692,2.708168476,4.711180776,5.439101394
"Macao SAR, China",MAC,-3.349794559,-23.14119319,-2.460044496,8.166864718,3.931608389
St. Martin (French part),MAF,,,,,
Morocco,MAR,1.229493548,3.1031114,-0.286735807,2.882326342,1.688275085
Monaco,MCO,5.990761481,3.798658465,2.543026005,-4.210200042,5.304565431
Moldova,MDA,5.063648177,0.450049451,5.614620719,6.477160519,5.276488785
Madagascar,MDG,0.585373194,0.390790757,1.234859158,1.185006414,1.810248204
Maldives,MDV,2.537708683,-1.616077996,1.731998986,2.309280867,2.889730837
Middle East & North Africa,MEA,0.938935915,0.588083019,3.037458896,-0.279343259,0.592046872
Mexico,MEX,1.499188933,2.013927114,1.679693916,0.936351596,0.991932458
Marshall Islands,MHL,-1.357486931,1.131431293,0.787279499,3.477735628,2.994982208
Middle income,MIC,3.212161619,2.731627886,3.114673086,3.727413414,3.491809161
North Macedonia,MKD,3.544454304,3.778043048,2.778401047,0.180289922,2.617176945
Mali,MLI,3.981680388,2.896755061,2.698505686,2.285864187,1.791676657
Malta,MLT,6.557244317,8.204925412,3.28465377,3.841166715,3.108232639
Myanmar,MMR,7.10610606,6.180617815,5.135039472,6.083960111,5.555804238
Middle East & North Africa (excluding high income),MNA,0.285265235,-0.781189343,5.868953582,1.174862912,
Montenegro,MNE,1.684977361,3.332424034,2.925516359,4.704687214,5.102515781
Mongolia,MNG,5.745360276,0.388160071,-0.748813701,3.394558162,5.317252546
Northern Mariana Islands,MNP,2.808187117,2.64046084,27.37934729,24.73789824,-20.06010379
Mozambique,MOZ,4.434559392,3.740303766,0.884673467,0.775389933,0.458309216
Mauritania,MRT,2.534016282,-2.429921784,-1.023986082,0.208196427,0.714678742
Mauritius,MUS,3.556904271,3.416023973,3.766596458,3.720567648,3.717228566
Malawi,MWI,2.778269574,0.002055023,-0.255885678,1.26339856,0.801419696
Malaysia,MYS,4.595193584,3.687552271,3.04105536,4.313274212,3.334501101
North America,NAC,1.721888736,1.915337648,0.755882185,1.589758748,2.20064037
Namibia,NAM,4.48420943,4.185724353,-0.726735434,-2.706518584,-2.400819772
New Caledonia,NCL,,,,,
Niger,NER,3.416247219,0.364737337,0.952882045,0.942737603,2.495334702
Nigeria,NGA,3.513963445,-0.029295429,-4.16841477,-1.788826785,-0.66557908
Nicaragua,NIC,3.41637678,3.435805407,3.224413431,3.305951711,-5.149140166
